Time;pod;Value;
2022-04-07 10:02:01;user-service-647d47cd4-wnnf4;505.16 MB;
2022-04-07 10:04:01;user-service-647d47cd4-wnnf4;504.81 MB;
2022-04-07 10:03:31;user-service-647d47cd4-wnnf4;504.81 MB;
2022-04-07 10:03:01;user-service-647d47cd4-wnnf4;504.81 MB;
2022-04-07 09:57:01;user-service-647d47cd4-wnnf4;504.78 MB;
2022-04-07 10:07:31;user-service-647d47cd4-wnnf4;504.02 MB;
2022-04-07 10:07:01;user-service-647d47cd4-wnnf4;504.02 MB;
2022-04-07 09:55:01;user-service-647d47cd4-wnnf4;503.28 MB;
2022-04-07 09:54:31;user-service-647d47cd4-wnnf4;503.28 MB;
2022-04-07 09:51:31;user-service-647d47cd4-wnnf4;503.08 MB;
2022-04-07 09:51:01;user-service-647d47cd4-wnnf4;503.08 MB;
2022-04-07 10:26:01;user-service-647d47cd4-wnnf4;502.68 MB;
2022-04-07 10:25:31;user-service-647d47cd4-wnnf4;502.68 MB;
2022-04-07 10:25:01;user-service-647d47cd4-wnnf4;502.68 MB;
2022-04-07 10:24:31;user-service-647d47cd4-wnnf4;502.68 MB;
2022-04-07 10:16:01;user-service-647d47cd4-wnnf4;502.68 MB;
2022-04-07 10:23:31;user-service-647d47cd4-wnnf4;502.56 MB;
2022-04-07 10:23:01;user-service-647d47cd4-wnnf4;502.56 MB;
2022-04-07 10:27:31;user-service-647d47cd4-wnnf4;502.54 MB;
2022-04-07 10:27:01;user-service-647d47cd4-wnnf4;502.54 MB;
2022-04-07 10:26:31;user-service-647d47cd4-wnnf4;502.54 MB;
2022-04-07 09:53:01;user-service-647d47cd4-wnnf4;502.28 MB;
2022-04-07 09:52:31;user-service-647d47cd4-wnnf4;502.28 MB;
2022-04-07 10:21:01;user-service-647d47cd4-wnnf4;502.09 MB;
2022-04-07 10:20:31;user-service-647d47cd4-wnnf4;502.09 MB;
2022-04-07 10:20:01;user-service-647d47cd4-wnnf4;502.09 MB;
2022-04-07 10:19:31;user-service-647d47cd4-wnnf4;502.09 MB;
2022-04-07 10:19:01;user-service-647d47cd4-wnnf4;502.09 MB;
2022-04-07 10:31:01;user-service-647d47cd4-wnnf4;501.74 MB;
2022-04-07 10:30:31;user-service-647d47cd4-wnnf4;501.74 MB;
2022-04-07 10:30:01;user-service-647d47cd4-wnnf4;501.74 MB;
2022-04-07 10:29:31;user-service-647d47cd4-wnnf4;501.74 MB;
2022-04-07 09:48:01;user-service-647d47cd4-wnnf4;501.37 MB;
2022-04-07 09:47:31;user-service-647d47cd4-wnnf4;501.37 MB;
2022-04-07 10:45:31;user-service-647d47cd4-wnnf4;501.17 MB;
2022-04-07 10:45:01;user-service-647d47cd4-wnnf4;501.17 MB;
2022-04-07 10:49:01;user-service-647d47cd4-wnnf4;501.07 MB;
2022-04-07 10:48:31;user-service-647d47cd4-wnnf4;501.07 MB;
2022-04-07 10:48:01;user-service-647d47cd4-wnnf4;501.07 MB;
2022-04-07 10:47:31;user-service-647d47cd4-wnnf4;501.07 MB;
2022-04-07 10:47:01;user-service-647d47cd4-wnnf4;501.07 MB;
2022-04-07 10:46:31;user-service-647d47cd4-wnnf4;501.07 MB;
2022-04-07 10:44:01;user-service-647d47cd4-wnnf4;501.06 MB;
2022-04-07 10:43:31;user-service-647d47cd4-wnnf4;501.06 MB;
2022-04-07 10:43:01;user-service-647d47cd4-wnnf4;501.06 MB;
2022-04-07 10:51:01;user-service-647d47cd4-wnnf4;500.69 MB;
2022-04-07 10:50:31;user-service-647d47cd4-wnnf4;500.69 MB;
2022-04-07 10:40:31;user-service-647d47cd4-wnnf4;499.94 MB;
2022-04-07 10:40:01;user-service-647d47cd4-wnnf4;499.94 MB;
2022-04-07 09:31:01;user-service-647d47cd4-wnnf4;499.81 MB;
2022-04-07 09:30:31;user-service-647d47cd4-wnnf4;499.81 MB;
2022-04-07 10:37:31;user-service-647d47cd4-wnnf4;499.61 MB;
2022-04-07 10:37:01;user-service-647d47cd4-wnnf4;499.61 MB;
2022-04-07 10:36:31;user-service-647d47cd4-wnnf4;499.61 MB;
2022-04-07 10:36:01;user-service-647d47cd4-wnnf4;499.61 MB;
2022-04-07 10:35:31;user-service-647d47cd4-wnnf4;499.61 MB;
2022-04-07 10:35:01;user-service-647d47cd4-wnnf4;499.61 MB;
2022-04-07 10:39:31;user-service-647d47cd4-wnnf4;499.47 MB;
2022-04-07 10:55:01;user-service-647d47cd4-wnnf4;498.99 MB;
2022-04-07 10:54:31;user-service-647d47cd4-wnnf4;498.99 MB;
2022-04-07 10:54:01;user-service-647d47cd4-wnnf4;498.99 MB;
2022-04-07 10:53:31;user-service-647d47cd4-wnnf4;498.99 MB;
2022-04-07 10:53:01;user-service-647d47cd4-wnnf4;498.99 MB;
2022-04-07 10:57:31;user-service-647d47cd4-wnnf4;497.77 MB;
2022-04-07 10:57:01;user-service-647d47cd4-wnnf4;497.77 MB;
2022-04-07 10:56:31;user-service-647d47cd4-wnnf4;497.77 MB;
2022-04-07 10:56:01;user-service-647d47cd4-wnnf4;497.77 MB;
2022-04-07 10:59:31;user-service-647d47cd4-wnnf4;497.70 MB;
2022-04-07 10:59:01;user-service-647d47cd4-wnnf4;497.70 MB;
2022-04-07 10:58:31;user-service-647d47cd4-wnnf4;497.70 MB;
2022-04-07 11:03:01;user-service-647d47cd4-wnnf4;496.23 MB;
2022-04-07 11:02:31;user-service-647d47cd4-wnnf4;496.23 MB;
2022-04-07 11:02:01;user-service-647d47cd4-wnnf4;496.23 MB;
2022-04-07 11:01:31;user-service-647d47cd4-wnnf4;496.23 MB;
2022-04-07 11:01:01;user-service-647d47cd4-wnnf4;496.23 MB;
2022-04-07 11:36:01;user-service-647d47cd4-wnnf4;495.88 MB;
2022-04-07 11:11:31;user-service-647d47cd4-wnnf4;494.61 MB;
2022-04-07 11:11:01;user-service-647d47cd4-wnnf4;494.61 MB;
2022-04-07 11:30:01;user-service-647d47cd4-wnnf4;494.13 MB;
2022-04-07 11:29:31;user-service-647d47cd4-wnnf4;494.13 MB;
2022-04-07 11:29:01;user-service-647d47cd4-wnnf4;494.13 MB;
2022-04-07 11:15:31;user-service-647d47cd4-wnnf4;494.06 MB;
2022-04-07 11:15:01;user-service-647d47cd4-wnnf4;494.06 MB;
2022-04-07 11:14:31;user-service-647d47cd4-wnnf4;494.06 MB;
2022-04-07 11:14:01;user-service-647d47cd4-wnnf4;494.06 MB;
2022-04-07 11:13:31;user-service-647d47cd4-wnnf4;494.06 MB;
2022-04-07 11:13:01;user-service-647d47cd4-wnnf4;494.06 MB;
2022-04-07 11:12:31;user-service-647d47cd4-wnnf4;494.06 MB;
2022-04-07 11:12:01;user-service-647d47cd4-wnnf4;494.06 MB;
2022-04-07 11:06:31;user-service-647d47cd4-wnnf4;493.92 MB;
