timestamp,value
2022-03-29 10:19:52.122999808+00:00,1
2022-03-29 10:19:57.127000064+00:00,2
2022-03-29 10:20:02.122999808+00:00,3
2022-03-29 10:20:07.128999936+00:00,4
2022-03-29 10:20:12.125999872+00:00,5
2022-03-29 10:20:17.131000064+00:00,6
2022-03-29 10:20:22.122999808+00:00,7
2022-03-29 10:20:27.128000+00:00,8
2022-03-29 10:20:32.122999808+00:00,9
2022-03-29 10:20:37.124000+00:00,10
2022-03-29 10:20:42.131000064+00:00,11
2022-03-29 10:20:47.122999808+00:00,12
2022-03-29 10:20:52.124000+00:00,13
2022-03-29 10:20:57.121999872+00:00,14
2022-03-29 10:21:02.124000+00:00,15
2022-03-29 10:21:07.122999808+00:00,16
2022-03-29 10:21:12.122999808+00:00,17
2022-03-29 10:21:17.127000064+00:00,18
2022-03-29 10:21:22.124999936+00:00,19
2022-03-29 10:21:27.122999808+00:00,20
2022-03-29 10:21:32.127000064+00:00,21
2022-03-29 10:21:37.124000+00:00,22
2022-03-29 10:21:42.122999808+00:00,23
2022-03-29 10:21:47.122999808+00:00,24
2022-03-29 10:21:52.122999808+00:00,25
2022-03-29 10:21:57.122999808+00:00,26
2022-03-29 10:22:02.122999808+00:00,27
2022-03-29 10:22:07.130000128+00:00,28
2022-03-29 10:22:12.122999808+00:00,29
2022-03-29 10:22:17.122999808+00:00,30
2022-03-29 10:22:22.127000064+00:00,31
2022-03-29 10:22:27.122999808+00:00,32
2022-03-29 10:22:32.124999936+00:00,33
2022-03-29 10:22:37.122999808+00:00,34
2022-03-29 10:22:42.122999808+00:00,35
2022-03-29 10:22:47.122999808+00:00,36
2022-03-29 10:22:52.130000128+00:00,37
2022-03-29 10:22:57.124000+00:00,38
2022-03-29 10:23:02.124999936+00:00,39
2022-03-29 10:23:07.125999872+00:00,40
2022-03-29 10:23:12.122999808+00:00,41
2022-03-29 10:23:17.122999808+00:00,42
2022-03-29 10:23:22.128000+00:00,43
2022-03-29 10:23:27.128999936+00:00,44
2022-03-29 10:23:32.124999936+00:00,45
2022-03-29 10:23:37.125999872+00:00,46
2022-03-29 10:23:42.122999808+00:00,47
2022-03-29 10:23:47.124000+00:00,48
2022-03-29 10:23:52.124999936+00:00,49
2022-03-29 10:23:57.122999808+00:00,50
2022-03-29 10:24:02.128999936+00:00,51
2022-03-29 10:24:07.121999872+00:00,52
2022-03-29 10:24:12.122999808+00:00,53
2022-03-29 10:24:17.124000+00:00,54
2022-03-29 10:24:22.122999808+00:00,55
2022-03-29 10:24:27.122999808+00:00,56
2022-03-29 10:24:32.127000064+00:00,57
2022-03-29 10:24:37.128999936+00:00,58
2022-03-29 10:24:42.124000+00:00,59
2022-03-29 10:24:47.124000+00:00,60
2022-03-29 10:24:52.124999936+00:00,61
2022-03-29 10:24:57.122999808+00:00,62
2022-03-29 10:25:02.122999808+00:00,63
2022-03-29 10:25:07.122999808+00:00,64
2022-03-29 10:25:12.122999808+00:00,65
2022-03-29 10:25:17.122999808+00:00,66
2022-03-29 10:25:22.122999808+00:00,67
2022-03-29 10:25:27.122999808+00:00,68
2022-03-29 10:25:32.125999872+00:00,69
2022-03-29 10:25:37.122999808+00:00,70
2022-03-29 10:25:42.122999808+00:00,71
2022-03-29 10:25:47.127000064+00:00,72
2022-03-29 10:25:52.122999808+00:00,73
2022-03-29 10:25:57.122999808+00:00,74
2022-03-29 10:26:02.122999808+00:00,75
2022-03-29 10:26:07.121999872+00:00,76
2022-03-29 10:26:12.122999808+00:00,77
2022-03-29 10:26:17.121999872+00:00,78
2022-03-29 10:26:22.122999808+00:00,79
2022-03-29 10:26:27.122999808+00:00,79
2022-03-29 10:26:32.122999808+00:00,80
2022-03-29 10:26:37.124999936+00:00,81
2022-03-29 10:26:42.128000+00:00,82
2022-03-29 10:26:47.127000064+00:00,83
2022-03-29 10:26:52.122999808+00:00,84
2022-03-29 10:26:57.124999936+00:00,85
2022-03-29 10:27:02.122999808+00:00,86
2022-03-29 10:27:07.122999808+00:00,87
2022-03-29 10:27:12.122999808+00:00,88
2022-03-29 10:27:17.122999808+00:00,89
2022-03-29 10:27:22.125999872+00:00,90
2022-03-29 10:27:27.130000128+00:00,91
2022-03-29 10:27:32.124000+00:00,92
2022-03-29 10:27:37.124999936+00:00,93
2022-03-29 10:27:42.124000+00:00,94
2022-03-29 10:27:47.124000+00:00,95
2022-03-29 10:27:52.124000+00:00,96
2022-03-29 10:27:57.122999808+00:00,97
2022-03-29 10:28:02.122999808+00:00,98
2022-03-29 10:28:07.131000064+00:00,99
2022-03-29 10:28:12.124000+00:00,100
2022-03-29 10:28:17.136000+00:00,101
2022-03-29 10:28:22.124000+00:00,102
2022-03-29 10:28:27.124000+00:00,103
2022-03-29 10:28:32.125999872+00:00,104
2022-03-29 10:28:37.122999808+00:00,105
2022-03-29 10:28:42.124000+00:00,106
2022-03-29 10:28:47.124000+00:00,107
2022-03-29 10:28:52.125999872+00:00,108
2022-03-29 10:28:57.124000+00:00,109
2022-03-29 10:29:02.130000128+00:00,110
2022-03-29 10:29:07.128000+00:00,111
2022-03-29 10:29:12.122999808+00:00,112
2022-03-29 10:29:17.128000+00:00,113
2022-03-29 10:29:22.122999808+00:00,114
2022-03-29 10:29:27.122999808+00:00,115
2022-03-29 10:29:32.124000+00:00,116
2022-03-29 10:29:37.125999872+00:00,117
2022-03-29 10:29:42.122999808+00:00,118
2022-03-29 10:29:47.122999808+00:00,119
2022-03-29 10:29:52.122999808+00:00,120
2022-03-29 10:29:57.121999872+00:00,121
2022-03-29 10:30:02.124999936+00:00,122
2022-03-29 10:30:07.125999872+00:00,123
2022-03-29 10:30:12.124000+00:00,124
2022-03-29 10:30:17.124000+00:00,125
2022-03-29 10:30:22.124000+00:00,126
2022-03-29 10:30:27.124999936+00:00,127
2022-03-29 10:30:32.128999936+00:00,128
2022-03-29 10:30:37.124000+00:00,129
2022-03-29 10:30:42.134000128+00:00,130
2022-03-29 10:30:47.122999808+00:00,131
2022-03-29 10:30:52.122999808+00:00,132
2022-03-29 10:30:57.122999808+00:00,133
2022-03-29 10:31:02.122999808+00:00,134
2022-03-29 10:31:07.122999808+00:00,135
2022-03-29 10:31:12.122999808+00:00,136
2022-03-29 10:31:17.124999936+00:00,137
2022-03-29 10:31:22.124000+00:00,138
2022-03-29 10:31:27.122999808+00:00,139
2022-03-29 10:31:32.122999808+00:00,140
2022-03-29 10:31:37.124000+00:00,141
2022-03-29 10:31:42.124000+00:00,142
2022-03-29 10:31:47.122999808+00:00,143
2022-03-29 10:31:52.125999872+00:00,144
2022-03-29 10:31:57.122999808+00:00,145
2022-03-29 10:32:02.125999872+00:00,146
2022-03-29 10:32:07.124000+00:00,147
2022-03-29 10:32:12.122999808+00:00,148
2022-03-29 10:32:17.124000+00:00,149
2022-03-29 10:32:22.122999808+00:00,150
2022-03-29 10:32:27.124000+00:00,151
2022-03-29 10:32:32.122999808+00:00,152
2022-03-29 10:32:37.122999808+00:00,153
2022-03-29 10:32:42.124000+00:00,154
2022-03-29 10:32:47.122999808+00:00,155
2022-03-29 10:32:52.122999808+00:00,156
2022-03-29 10:32:57.122999808+00:00,157
2022-03-29 10:33:02.124000+00:00,158
2022-03-29 10:33:07.122999808+00:00,159
2022-03-29 10:33:12.122999808+00:00,160
2022-03-29 10:33:17.124999936+00:00,161
2022-03-29 10:33:22.121999872+00:00,162
2022-03-29 10:33:27.122999808+00:00,163
2022-03-29 10:33:32.122999808+00:00,164
2022-03-29 10:33:37.121999872+00:00,165
2022-03-29 10:33:42.122999808+00:00,166
2022-03-29 10:33:47.122999808+00:00,167
2022-03-29 10:33:52.122999808+00:00,167
2022-03-29 10:33:57.122999808+00:00,168
2022-03-29 10:34:02.122999808+00:00,169
2022-03-29 10:34:07.122999808+00:00,170
2022-03-29 10:34:12.127000064+00:00,171
2022-03-29 10:34:17.122999808+00:00,172
2022-03-29 10:34:22.122999808+00:00,173
2022-03-29 10:34:27.132999936+00:00,174
2022-03-29 10:34:32.124999936+00:00,175
2022-03-29 10:34:37.122999808+00:00,176
2022-03-29 10:34:42.124000+00:00,177
2022-03-29 10:34:47.127000064+00:00,178
2022-03-29 10:34:52.122999808+00:00,179
2022-03-29 10:34:57.127000064+00:00,180
2022-03-29 10:35:02.122999808+00:00,181
2022-03-29 10:35:07.122999808+00:00,182
2022-03-29 10:35:12.122999808+00:00,183
2022-03-29 10:35:17.124999936+00:00,184
2022-03-29 10:35:22.124000+00:00,185
2022-03-29 10:35:27.124000+00:00,186
2022-03-29 10:35:32.125999872+00:00,187
2022-03-29 10:35:37.130000128+00:00,188
2022-03-29 10:35:42.125999872+00:00,189
2022-03-29 10:35:47.124999936+00:00,190
2022-03-29 10:35:52.122999808+00:00,191
2022-03-29 10:35:57.122999808+00:00,192
2022-03-29 10:36:02.124000+00:00,193
2022-03-29 10:36:07.124000+00:00,194
2022-03-29 10:36:12.122999808+00:00,195
2022-03-29 10:36:17.122999808+00:00,196
2022-03-29 10:36:22.122999808+00:00,197
2022-03-29 10:36:27.124000+00:00,198
