Time;pod;Value;
2022-04-07 11:00:31;catalog-service-5df84bc88c-k8v9q;508.57 MB;
2022-04-07 11:00:01;catalog-service-5df84bc88c-k8v9q;508.57 MB;
2022-04-07 10:59:31;catalog-service-5df84bc88c-k8v9q;508.57 MB;
2022-04-07 10:59:01;catalog-service-5df84bc88c-k8v9q;254.92 MB;
2022-04-07 10:58:31;catalog-service-5df84bc88c-k8v9q;508.56 MB;
2022-04-07 10:58:01;catalog-service-5df84bc88c-k8v9q;253.64 MB;
2022-04-07 10:57:31;catalog-service-5df84bc88c-k8v9q;253.64 MB;
2022-04-07 10:57:01;catalog-service-5df84bc88c-k8v9q;253.64 MB;
2022-04-07 10:56:31;catalog-service-5df84bc88c-k8v9q;253.64 MB;
2022-04-07 10:56:01;catalog-service-5df84bc88c-k8v9q;253.64 MB;
2022-04-07 10:55:31;catalog-service-5df84bc88c-k8v9q;253.64 MB;
2022-04-07 10:55:01;catalog-service-5df84bc88c-k8v9q;509.83 MB;
2022-04-07 10:54:31;catalog-service-5df84bc88c-k8v9q;766.91 MB;
2022-04-07 10:54:01;catalog-service-5df84bc88c-k8v9q;766.91 MB;
2022-04-07 10:53:31;catalog-service-5df84bc88c-k8v9q;513.27 MB;
2022-04-07 10:53:01;catalog-service-5df84bc88c-k8v9q;513.27 MB;
2022-04-07 10:52:31;catalog-service-5df84bc88c-k8v9q;513.27 MB;
2022-04-07 10:52:01;catalog-service-5df84bc88c-k8v9q;513.27 MB;
2022-04-07 10:51:31;catalog-service-5df84bc88c-k8v9q;513.27 MB;
2022-04-07 10:51:01;catalog-service-5df84bc88c-k8v9q;513.27 MB;
2022-04-07 10:50:31;catalog-service-5df84bc88c-k8v9q;513.27 MB;
2022-04-07 10:50:01;catalog-service-5df84bc88c-k8v9q;257.07 MB;
2022-04-07 10:49:31;catalog-service-5df84bc88c-k8v9q;256.50 MB;
2022-04-07 10:49:01;catalog-service-5df84bc88c-k8v9q;256.50 MB;
2022-04-07 10:48:31;catalog-service-5df84bc88c-k8v9q;513.01 MB;
2022-04-07 10:48:01;catalog-service-5df84bc88c-k8v9q;769.82 MB;
2022-04-07 10:47:31;catalog-service-5df84bc88c-k8v9q;769.82 MB;
2022-04-07 10:47:01;catalog-service-5df84bc88c-k8v9q;769.82 MB;
2022-04-07 10:46:31;catalog-service-5df84bc88c-k8v9q;769.82 MB;
2022-04-07 10:46:01;catalog-service-5df84bc88c-k8v9q;769.82 MB;
2022-04-07 10:45:31;catalog-service-5df84bc88c-k8v9q;769.82 MB;
2022-04-07 10:45:01;catalog-service-5df84bc88c-k8v9q;769.82 MB;
2022-04-07 10:44:31;catalog-service-5df84bc88c-k8v9q;513.31 MB;
2022-04-07 10:44:01;catalog-service-5df84bc88c-k8v9q;513.31 MB;
2022-04-07 10:43:31;catalog-service-5df84bc88c-k8v9q;256.81 MB;
2022-04-07 10:41:31;catalog-service-5df84bc88c-k8v9q;507.94 MB;
2022-04-07 10:41:01;catalog-service-5df84bc88c-k8v9q;507.94 MB;
2022-04-07 10:40:31;catalog-service-5df84bc88c-k8v9q;762.88 MB;
2022-04-07 10:40:01;catalog-service-5df84bc88c-k8v9q;762.88 MB;
2022-04-07 10:39:31;catalog-service-5df84bc88c-k8v9q;762.88 MB;
2022-04-07 10:39:01;catalog-service-5df84bc88c-k8v9q;762.88 MB;
2022-04-07 10:38:31;catalog-service-5df84bc88c-k8v9q;762.88 MB;
2022-04-07 10:38:01;catalog-service-5df84bc88c-k8v9q;762.88 MB;
2022-04-07 10:37:31;catalog-service-5df84bc88c-k8v9q;762.88 MB;
2022-04-07 10:37:01;catalog-service-5df84bc88c-k8v9q;762.88 MB;
2022-04-07 10:36:31;catalog-service-5df84bc88c-k8v9q;254.94 MB;
2022-04-07 10:36:01;catalog-service-5df84bc88c-k8v9q;254.94 MB;
2022-04-07 10:35:31;catalog-service-5df84bc88c-k8v9q;254.62 MB;
2022-04-07 10:35:01;catalog-service-5df84bc88c-k8v9q;509.52 MB;
2022-04-07 10:34:31;catalog-service-5df84bc88c-k8v9q;509.52 MB;
2022-04-07 10:34:01;catalog-service-5df84bc88c-k8v9q;509.52 MB;
2022-04-07 10:33:31;catalog-service-5df84bc88c-k8v9q;509.52 MB;
2022-04-07 10:33:01;catalog-service-5df84bc88c-k8v9q;509.52 MB;
2022-04-07 10:32:31;catalog-service-5df84bc88c-k8v9q;509.52 MB;
2022-04-07 10:32:01;catalog-service-5df84bc88c-k8v9q;509.52 MB;
