Time;pod;Value;
2022-04-07 10:54:31;pay-service-d95678cb4-blpv7;530.40;
2022-04-07 10:54:01;pay-service-d95678cb4-blpv7;530.40;
2022-04-07 10:53:31;pay-service-d95678cb4-blpv7;530.40;
2022-04-07 10:53:01;pay-service-d95678cb4-blpv7;264.96;
2022-04-07 10:52:31;pay-service-d95678cb4-blpv7;264.96;
2022-04-07 10:52:01;pay-service-d95678cb4-blpv7;264.96;
2022-04-07 10:51:31;pay-service-d95678cb4-blpv7;266.33;
2022-04-07 10:51:01;pay-service-d95678cb4-blpv7;266.33;
2022-04-07 10:50:31;pay-service-d95678cb4-blpv7;532.98;
2022-04-07 10:50:01;pay-service-d95678cb4-blpv7;532.98;
2022-04-07 10:49:31;pay-service-d95678cb4-blpv7;799.29;
2022-04-07 10:49:01;pay-service-d95678cb4-blpv7;799.29;
2022-04-07 10:48:31;pay-service-d95678cb4-blpv7;799.29;
2022-04-07 10:48:01;pay-service-d95678cb4-blpv7;799.29;
2022-04-07 10:47:31;pay-service-d95678cb4-blpv7;799.29;
2022-04-07 10:47:01;pay-service-d95678cb4-blpv7;799.29;
2022-04-07 10:46:31;pay-service-d95678cb4-blpv7;532.96;
2022-04-07 10:46:01;pay-service-d95678cb4-blpv7;532.96;
2022-04-07 10:45:31;pay-service-d95678cb4-blpv7;266.31;
2022-04-07 10:45:01;pay-service-d95678cb4-blpv7;266.31;
2022-04-07 10:44:31;pay-service-d95678cb4-blpv7;266.31;
2022-04-07 10:44:01;pay-service-d95678cb4-blpv7;266.31;
2022-04-07 10:43:31;pay-service-d95678cb4-blpv7;266.35;
2022-04-07 10:43:01;pay-service-d95678cb4-blpv7;266.35;
2022-04-07 10:42:31;pay-service-d95678cb4-blpv7;266.35;
2022-04-07 10:42:01;pay-service-d95678cb4-blpv7;266.35;
2022-04-07 10:41:31;pay-service-d95678cb4-blpv7;798.87;
2022-04-07 10:41:01;pay-service-d95678cb4-blpv7;798.87;
2022-04-07 10:40:31;pay-service-d95678cb4-blpv7;798.87;
2022-04-07 10:40:01;pay-service-d95678cb4-blpv7;798.87;
2022-04-07 10:39:31;pay-service-d95678cb4-blpv7;798.87;
2022-04-07 10:39:01;pay-service-d95678cb4-blpv7;798.87;
2022-04-07 10:38:31;pay-service-d95678cb4-blpv7;798.87;
2022-04-07 10:38:01;pay-service-d95678cb4-blpv7;798.06;
2022-04-07 10:37:31;pay-service-d95678cb4-blpv7;798.06;
2022-04-07 10:37:01;pay-service-d95678cb4-blpv7;798.06;
2022-04-07 10:36:31;pay-service-d95678cb4-blpv7;265.53;
