Time;pod;Value;
2022-04-07 11:00:31;catalog-service-5df84bc88c-k8v9q;0.01665391;
2022-04-07 11:00:01;catalog-service-5df84bc88c-k8v9q;0.01760116;
2022-04-07 10:59:31;catalog-service-5df84bc88c-k8v9q;0.01760116;
2022-04-07 10:59:01;catalog-service-5df84bc88c-k8v9q;0.01646805;
2022-04-07 10:58:31;catalog-service-5df84bc88c-k8v9q;0.01731302;
2022-04-07 10:58:01;catalog-service-5df84bc88c-k8v9q;0.01638161;
2022-04-07 10:57:31;catalog-service-5df84bc88c-k8v9q;0.01648520;
2022-04-07 10:57:01;catalog-service-5df84bc88c-k8v9q;0.01576635;
2022-04-07 10:56:31;catalog-service-5df84bc88c-k8v9q;0.01846671;
2022-04-07 10:56:01;catalog-service-5df84bc88c-k8v9q;0.01846671;
2022-04-07 10:55:31;catalog-service-5df84bc88c-k8v9q;0.01846671;
2022-04-07 10:55:01;catalog-service-5df84bc88c-k8v9q;0.01848620;
2022-04-07 10:54:31;catalog-service-5df84bc88c-k8v9q;0.01848620;
2022-04-07 10:54:01;catalog-service-5df84bc88c-k8v9q;0.01769001;
2022-04-07 10:53:31;catalog-service-5df84bc88c-k8v9q;0.01685488;
2022-04-07 10:53:01;catalog-service-5df84bc88c-k8v9q;0.01686035;
2022-04-07 10:52:31;catalog-service-5df84bc88c-k8v9q;0.01790451;
2022-04-07 10:52:01;catalog-service-5df84bc88c-k8v9q;0.01801357;
2022-04-07 10:51:31;catalog-service-5df84bc88c-k8v9q;0.01888097;
2022-04-07 10:51:01;catalog-service-5df84bc88c-k8v9q;0.01888097;
2022-04-07 10:50:31;catalog-service-5df84bc88c-k8v9q;0.01888097;
2022-04-07 10:50:01;catalog-service-5df84bc88c-k8v9q;0.01945319;
2022-04-07 10:49:31;catalog-service-5df84bc88c-k8v9q;0.01983769;
2022-04-07 10:49:01;catalog-service-5df84bc88c-k8v9q;0.01994915;
2022-04-07 10:48:31;catalog-service-5df84bc88c-k8v9q;0.01994915;
2022-04-07 10:48:01;catalog-service-5df84bc88c-k8v9q;0.01903640;
2022-04-07 10:47:31;catalog-service-5df84bc88c-k8v9q;0.01892734;
2022-04-07 10:47:01;catalog-service-5df84bc88c-k8v9q;0.01881828;
2022-04-07 10:46:31;catalog-service-5df84bc88c-k8v9q;0.02021521;
2022-04-07 10:46:01;catalog-service-5df84bc88c-k8v9q;0.02021521;
2022-04-07 10:45:31;catalog-service-5df84bc88c-k8v9q;0.02058013;
2022-04-07 10:45:01;catalog-service-5df84bc88c-k8v9q;0.02058013;
2022-04-07 10:44:31;catalog-service-5df84bc88c-k8v9q;0.02018100;
2022-04-07 10:44:01;catalog-service-5df84bc88c-k8v9q;0.02120252;
2022-04-07 10:43:31;catalog-service-5df84bc88c-k8v9q;0.02172994;
2022-04-07 10:43:01;catalog-service-5df84bc88c-k8v9q;0.02242563;
2022-04-07 10:42:31;catalog-service-5df84bc88c-k8v9q;0.02242563;
2022-04-07 10:42:01;catalog-service-5df84bc88c-k8v9q;0.02242563;
2022-04-07 10:41:31;catalog-service-5df84bc88c-k8v9q;0.02242563;
2022-04-07 10:41:01;catalog-service-5df84bc88c-k8v9q;0.02242563;
2022-04-07 10:40:31;catalog-service-5df84bc88c-k8v9q;0.02260183;
2022-04-07 10:40:01;catalog-service-5df84bc88c-k8v9q;0.02132042;
2022-04-07 10:39:31;catalog-service-5df84bc88c-k8v9q;0.02274869;
2022-04-07 10:39:01;catalog-service-5df84bc88c-k8v9q;0.02173055;
2022-04-07 10:38:31;catalog-service-5df84bc88c-k8v9q;0.02160669;
2022-04-07 10:38:01;catalog-service-5df84bc88c-k8v9q;0.02148282;
2022-04-07 10:37:31;catalog-service-5df84bc88c-k8v9q;0.02135895;
2022-04-07 10:37:01;catalog-service-5df84bc88c-k8v9q;0.02282008;
2022-04-07 10:36:31;catalog-service-5df84bc88c-k8v9q;0.02222330;
2022-04-07 10:36:01;catalog-service-5df84bc88c-k8v9q;0.02222330;
2022-04-07 10:35:31;catalog-service-5df84bc88c-k8v9q;0.02210545;
2022-04-07 10:35:01;catalog-service-5df84bc88c-k8v9q;0.02189320;
2022-04-07 10:34:31;catalog-service-5df84bc88c-k8v9q;0.02189320;
2022-04-07 10:34:01;catalog-service-5df84bc88c-k8v9q;0.02189320;
2022-04-07 10:33:31;catalog-service-5df84bc88c-k8v9q;0.02189320;
2022-04-07 10:33:01;catalog-service-5df84bc88c-k8v9q;0.02189320;
2022-04-07 10:32:31;catalog-service-5df84bc88c-k8v9q;0.02176324;
2022-04-07 10:32:01;catalog-service-5df84bc88c-k8v9q;0.02176324;
2022-04-07 10:31:31;catalog-service-5df84bc88c-k8v9q;0.02176324;
2022-04-07 10:31:01;catalog-service-5df84bc88c-k8v9q;0.02176324;
2022-04-07 10:30:31;catalog-service-5df84bc88c-k8v9q;0.02102886;
2022-04-07 10:30:01;catalog-service-5df84bc88c-k8v9q;0.02171811;
2022-04-07 10:29:31;catalog-service-5df84bc88c-k8v9q;0.02185002;
2022-04-07 10:29:01;catalog-service-5df84bc88c-k8v9q;0.02240301;
2022-04-07 10:28:31;catalog-service-5df84bc88c-k8v9q;0.02333207;
2022-04-07 10:28:01;catalog-service-5df84bc88c-k8v9q;0.02333207;
2022-04-07 10:27:31;catalog-service-5df84bc88c-k8v9q;0.02333207;
2022-04-07 10:27:01;catalog-service-5df84bc88c-k8v9q;0.02333207;
2022-04-07 10:26:31;catalog-service-5df84bc88c-k8v9q;0.02348547;
2022-04-07 10:26:01;catalog-service-5df84bc88c-k8v9q;0.02348547;
2022-04-07 10:25:31;catalog-service-5df84bc88c-k8v9q;0.02348547;
2022-04-07 10:25:01;catalog-service-5df84bc88c-k8v9q;0.02377772;
2022-04-07 10:24:31;catalog-service-5df84bc88c-k8v9q;0.02377772;
2022-04-07 10:24:01;catalog-service-5df84bc88c-k8v9q;0.02273015;
2022-04-07 10:23:31;catalog-service-5df84bc88c-k8v9q;0.02437388;
2022-04-07 10:23:01;catalog-service-5df84bc88c-k8v9q;0.02437388;
